model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
QRC,NARMA10_Chaotic,0.009539856287694395,8.871727406425883e-05,0.009299644710444598,0.5,1e-08,10,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.009513654956102213,3.38050247079224e-05,0.003553316245323708,0.5,1e-08,10,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011026142454249177,2.2435865342051416e-17,2.0347882711605307e-15,0.7,1e-08,1,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011026142454249177,1.7394481060863666e-17,1.5775672346914312e-15,0.7,1e-08,1,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.011026142454249172,1.9281625417821004e-17,1.7487190554472109e-15,0.7,1e-08,1,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010886199481324603,0.0002996752981000171,0.027527999887758208,0.7,1e-08,2,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010783232902659604,3.0746620078266755e-05,0.002851335991331814,0.7,1e-08,2,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010782286288903294,3.723248422739896e-05,0.0034531159004484208,0.7,1e-08,2,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010742154720180464,0.00012453615892548618,0.011593219625810232,0.7,1e-08,4,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010677789240118224,4.706189891111793e-05,0.004407457185453574,0.7,1e-08,4,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010687423053864933,9.356838117759934e-05,0.008754999283364371,0.7,1e-08,4,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010686540391230154,0.0002995114474467336,0.0280269794041602,0.7,1e-08,6,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010634381602265748,7.340122523298356e-05,0.006902256095205836,0.7,1e-08,6,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010709771141843558,7.910521682284174e-05,0.007386265847808279,0.7,1e-08,6,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010352469644247754,0.0004058536276295561,0.039203556405023085,0.7,1e-08,8,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.01022696548791072,7.350794064999508e-05,0.007187659011550269,0.7,1e-08,8,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010233104458405091,7.573089870384274e-05,0.0074005790727212015,0.7,1e-08,8,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.009159126237473263,0.00012515705357909714,0.01366473726140326,0.7,1e-08,10,1.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.009163039507852485,6.458110052825481e-05,0.007047999790125372,0.7,1e-08,10,2.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.00915101799374807,3.249463866716224e-05,0.0035509315673253414,0.7,1e-08,10,4.0,0.0,2025,,,
QRC,NARMA10_Chaotic,0.010826316833620692,1.9937317287544997e-17,1.8415604857997927e-15,0.9,1e-08,1,1.0,0.0,2025,,,
